,0,1,2,3
227,0.04,0.48,88,101
228,0.04,0.49,88,93
229,0.04,0.5,88,86
230,0.04,0.51,88,70
231,0.04,0.52,88,62
232,0.04,0.53,88,56
233,0.04,0.54,88,55
234,0.04,0.55,88,49
235,0.04,0.56,88,46
236,0.04,0.57,88,40
237,0.04,0.58,88,35
238,0.04,0.59,88,29
239,0.04,0.6,88,26
240,0.05,0.01,78,348
241,0.05,0.02,78,348
242,0.05,0.03,78,348
243,0.05,0.04,78,348
244,0.05,0.05,78,348
245,0.05,0.06,78,348
246,0.05,0.07,78,348
247,0.05,0.08,78,348
248,0.05,0.09,78,347
249,0.05,0.1,78,340
250,0.05,0.11,78,335
251,0.05,0.12,78,333
252,0.05,0.13,78,329
253,0.05,0.14,78,315
254,0.05,0.15,78,312
255,0.05,0.16,78,302
256,0.05,0.17,78,296
257,0.05,0.18,78,291
258,0.05,0.19,78,281
259,0.05,0.2,78,275
260,0.05,0.21,78,266
261,0.05,0.22,78,259
262,0.05,0.23,78,247
263,0.05,0.24,78,236
264,0.05,0.25,78,224
265,0.05,0.26,78,213
266,0.05,0.27,78,207
267,0.05,0.28,78,203
268,0.05,0.29,78,197
269,0.05,0.3,78,190
270,0.05,0.31,78,188
271,0.05,0.32,78,183
272,0.05,0.33,78,179
273,0.05,0.34,78,177
274,0.05,0.35,78,175
275,0.05,0.36,78,167
276,0.05,0.37,78,161
277,0.05,0.38,78,156
278,0.05,0.39,78,153
279,0.05,0.4,78,148
280,0.05,0.41,78,143
281,0.05,0.42,78,136
282,0.05,0.43,78,127
283,0.05,0.44,78,122
284,0.05,0.45,78,115
285,0.05,0.46,78,103
286,0.05,0.47,78,96
287,0.05,0.48,78,90
288,0.05,0.49,78,82
289,0.05,0.5,78,76
290,0.05,0.51,78,62
291,0.05,0.52,78,55
292,0.05,0.53,78,50
293,0.05,0.54,78,49
294,0.05,0.55,78,45
295,0.05,0.56,78,42
296,0.05,0.57,78,37
297,0.05,0.58,78,33
298,0.05,0.59,78,28
299,0.05,0.6,78,25
300,0.06,0.01,70,276
301,0.06,0.02,70,276
302,0.06,0.03,70,276
303,0.06,0.04,70,276
304,0.06,0.05,70,276
305,0.06,0.06,70,276
306,0.06,0.07,70,276
307,0.06,0.08,70,276
308,0.06,0.09,70,276
309,0.06,0.1,70,276
310,0.06,0.11,70,273
311,0.06,0.12,70,273
312,0.06,0.13,70,272
313,0.06,0.14,70,264
314,0.06,0.15,70,263
315,0.06,0.16,70,256
316,0.06,0.17,70,250
317,0.06,0.18,70,246
318,0.06,0.19,70,237
319,0.06,0.2,70,231
320,0.06,0.21,70,226
321,0.06,0.22,70,221
322,0.06,0.23,70,212
323,0.06,0.24,70,204
324,0.06,0.25,70,192
325,0.06,0.26,70,181
326,0.06,0.27,70,176
327,0.06,0.28,70,172
328,0.06,0.29,70,168
329,0.06,0.3,70,162
330,0.06,0.31,70,160
331,0.06,0.32,70,157
332,0.06,0.33,70,154
333,0.06,0.34,70,152
334,0.06,0.35,70,150
335,0.06,0.36,70,145
336,0.06,0.37,70,141
337,0.06,0.38,70,139
338,0.06,0.39,70,136
339,0.06,0.4,70,131
340,0.06,0.41,70,126
341,0.06,0.42,70,120
342,0.06,0.43,70,111
343,0.06,0.44,70,106
344,0.06,0.45,70,99
345,0.06,0.46,70,87
346,0.06,0.47,70,80
347,0.06,0.48,70,75
348,0.06,0.49,70,69
349,0.06,0.5,70,64
350,0.06,0.51,70,52
351,0.06,0.52,70,48
352,0.06,0.53,70,43
353,0.06,0.54,70,42
354,0.06,0.55,70,38
355,0.06,0.56,70,36
356,0.06,0.57,70,31
357,0.06,0.58,70,27
358,0.06,0.59,70,22
359,0.06,0.6,70,20
360,0.07,0.01,65,234
361,0.07,0.02,65,234
362,0.07,0.03,65,234
363,0.07,0.04,65,234
364,0.07,0.05,65,234
365,0.07,0.06,65,234
366,0.07,0.07,65,234
367,0.07,0.08,65,234
368,0.07,0.09,65,234
369,0.07,0.1,65,234
370,0.07,0.11,65,234
371,0.07,0.12,65,234
372,0.07,0.13,65,233
373,0.07,0.14,65,230
374,0.07,0.15,65,230
375,0.07,0.16,65,226
376,0.07,0.17,65,223
377,0.07,0.18,65,219
378,0.07,0.19,65,211
379,0.07,0.2,65,205
380,0.07,0.21,65,200
381,0.07,0.22,65,195
382,0.07,0.23,65,188
383,0.07,0.24,65,180
384,0.07,0.25,65,172
385,0.07,0.26,65,162
386,0.07,0.27,65,157
387,0.07,0.28,65,155
388,0.07,0.29,65,153
389,0.07,0.3,65,147
390,0.07,0.31,65,146
391,0.07,0.32,65,143
392,0.07,0.33,65,140
393,0.07,0.34,65,138
394,0.07,0.35,65,136
395,0.07,0.36,65,131
396,0.07,0.37,65,128
397,0.07,0.38,65,126
398,0.07,0.39,65,124
399,0.07,0.4,65,119
400,0.07,0.41,65,115
401,0.07,0.42,65,109
402,0.07,0.43,65,100
403,0.07,0.44,65,95
404,0.07,0.45,65,89
405,0.07,0.46,65,80
406,0.07,0.47,65,74
407,0.07,0.48,65,69
408,0.07,0.49,65,63
409,0.07,0.5,65,58
410,0.07,0.51,65,48
411,0.07,0.52,65,44
412,0.07,0.53,65,39
413,0.07,0.54,65,38
414,0.07,0.55,65,34
415,0.07,0.56,65,33
416,0.07,0.57,65,30
417,0.07,0.58,65,26
418,0.07,0.59,65,21
419,0.07,0.6,65,19
420,0.08,0.01,60,208
421,0.08,0.02,60,208
422,0.08,0.03,60,208
423,0.08,0.04,60,208
424,0.08,0.05,60,208
425,0.08,0.06,60,208
426,0.08,0.07,60,208
427,0.08,0.08,60,208
428,0.08,0.09,60,208
429,0.08,0.1,60,208
430,0.08,0.11,60,208
431,0.08,0.12,60,208
432,0.08,0.13,60,208
433,0.08,0.14,60,207
